CustomerID;Nationalite;Noms;Prenoms;Genre;Titre;Date_de_naissance;Age;Addresse;Ville;CodeDept;Departement;CodePostal;CodePays;Pays;Email;Telephone;IndicatifPays;CarteType;NumeroCarte;ExpirationCarte;NationalID;Poste;Employeur
1;Igbo;Afamefula;Onyemauchechukwu;female;Mrs.;7/4/1972;52;31 Place Charles de Gaulle;VILLENAVE-D'ORNON;AQ;Aquitaine;33140;FR;France;OnyemauchechukwuAfamefula@fleckens.hu;05.22.70.59.68;33;MasterCard;5293203586362970;01/05/2026;2720766182276 24;Sales agent;Helping Hand
2;Australian;Heathershaw;Archie;male;Mr.;5/1/1959;65;94 place Stanislas;NANCY;LO;Lorraine;54000;FR;France;ArchieHeathershaw@fleckens.hu;03.61.03.71.15;33;Visa;4716459107944770;01/04/2025;1590538256638 17;Bailiff;Child World
3;Igbo;Yobachi;Mgbeke;female;Ms.;7/16/1951;73;86 Quai des Belges;MARSEILLE;PA;Provence-Alpes-Côte d'Azur;13016;FR;France;MgbekeYobachi@cuvox.de;04.33.53.35.22;33;MasterCard;5422790658233740;01/02/2025;2510755963381 28;Dance captain;Monk Home Funding Services
4;United_Kingdom;Lucas;Jake;male;Mr.;8/11/1988;36;43 avenue Jules Ferry;SIX-FOURS-LES-PLAGES;PA;Provence-Alpes-Côte d'Azur;83140;FR;France;JakeLucas@jourrapide.com;04.63.10.39.02;33;Visa;4716638239138380;01/03/2025;1880892251451 45;Employee benefits specialist;Handy Andy
5;German;Nussbaum;Antje;female;Mrs.;1/10/1982;42;13 avenue Ferdinand de Lesseps;GRENOBLE;RA;Rhône-Alpes;38000;FR;France;AntjeNussbaum@superrito.com;04.09.67.50.59;33;Visa;4532580575695040;01/08/2025;2820106543229 72;Personal chef;Orion
6;Brazil;Santos;Kauan;male;Mr.;8/19/1941;83;58 rue des six frères Ruellan;SALON-DE-PROVENCE;PA;Provence-Alpes-Côte d'Azur;13300;FR;France;KauanCavalcantiSantos@superrito.com;04.97.17.52.56;33;MasterCard;5287312252536620;01/10/2027;1410859777855 53;Vascular technologist;The White Rabbit
7;Hispanic;Saavedra;Afrodisio;male;Mr.;10/23/2003;20;36 Chemin Des Bateliers;ANGERS;PL;Pays de la Loire;49000;FR;France;AfrodisioSaavedraMalave@einrot.com;02.33.22.07.30;33;Visa;4556137583863110;01/11/2027;1031010739564 45;Patient educator;Life Plan Counselling
8;Hispanic;Solorio;Alarico;male;Mr.;8/30/1977;47;97 Square de la Couronne;PALAISEAU;IL;Île-de-France;91120;FR;France;AlaricoSolorioMesa@rhyta.com;01.29.21.65.51;33;Visa;4716393749177020;01/03/2029;1770830984106 13;Vending machine technician;Gamble-Skogmo
9;Hispanic;García;Beatrice;female;Ms.;6/10/1951;73;85 boulevard Aristide Briand;LE BOUSCAT;AQ;Aquitaine;33110;FR;France;BeatriceGarciaRazo@fleckens.hu;05.52.67.66.42;33;Visa;4532929114540980;01/06/2027;2510631259469 61;Explosives worker;The Warner Brothers Store
10;German;Vogler;Peter;male;Mr.;3/19/1939;85;95 Rue de Strasbourg;CLERMONT-FERRAND;AU;Auvergne;63100;FR;France;PeterVogler@fleckens.hu;04.89.95.39.00;33;Visa;4916903311471840;01/05/2028;1390371178300 36;Astronomer;LaBelle's
11;Brazil;Melo;Otávio;male;Mr.;5/29/1975;49;82 rue Jean Vilar;BESANÇON;FC;Franche-Comté;25000;FR;France;OtavioCastroMelo@jourrapide.com;03.85.13.47.46;33;MasterCard;5332251465055980;01/06/2026;1750526557696 72;Safety specialist;Food Barn
12;Eritrean;Kinfe;Askalu;female;Ms.;7/30/1959;65;44 rue Victor Hugo;CORBEIL-ESSONNES;IL;Île-de-France;91100;FR;France;AskaluKinfe@cuvox.de;01.24.16.90.09;33;Visa;4929303466857870;01/05/2026;2590741987263 91;Certified respiratory therapist;The Flying Hippo 
13;German;Propst;Maik;male;Mr.;9/20/1946;78;51 rue de la Mare aux Carats;MONTPELLIER;LN;Languedoc-Roussillon;34070;FR;France;MaikPropst@einrot.com;04.09.00.58.45;33;MasterCard;5545105852454860;01/10/2026;1460915207355 85;Surgical nurse;Yesterday's Records
14;Igbo;Ndubuisi;Onyekachi;female;Ms.;7/15/1994;30;82 rue Michel Ange;LE HAVRE;HN;Haute-Normandie;76610;FR;France;OnyekachiNdubuisi@teleworm.us;02.66.00.92.59;33;MasterCard;5419140038197250;01/02/2028;2940793750035 42;Multiple machine tool operator;Komerci
15;Eritrean;Abrha;Iggi;male;Mr.;4/17/2000;24;85 rue Sadi Carnot;AURILLAC;AU;Auvergne;15000;FR;France;IggiAbrha@gustr.com;04.09.26.21.51;33;MasterCard;5500288284412840;01/08/2028;1000470481807 56;Linguistic anthropologist;The Independent Planners
16;Igbo;Oguejiofor;Chiemenam;female;Mrs.;4/20/1970;54;92 Rue Marie De Médicis;CALUIRE-ET-CUIRE;RA;Rhône-Alpes;69300;FR;France;ChiemenamOguejiofor@fleckens.hu;04.52.80.04.90;33;Visa;4532526161250090;01/04/2027;2700479024286 88;Cleaning, washing, and metal pickling equipment tender;University Stereo
17;American;Ewing;Imelda;female;Ms.;3/8/1995;29;53 avenue Jules Ferry;SIX-FOURS-LES-PLAGES;PA;Provence-Alpes-Côte d'Azur;83140;FR;France;ImeldaMEwing@fleckens.hu;04.18.66.38.23;33;Visa;4929333666895630;01/04/2029;2950367005500 12;Residential electrician;Thriftway Food Mart
18;Hispanic;Tapia;Edelmar;male;Mr.;8/26/1968;56;13 boulevard de la Liberation;MARSEILLE;PA;Provence-Alpes-Côte d'Azur;13014;FR;France;EdelmarTapiaLoera@cuvox.de;04.33.76.08.28;33;Visa;4485290161426710;01/02/2027;1680865547542 58;HIV/AIDS nurse;Bugle Boy
19;Australian;McKeon;Max;male;Mr.;2/4/1975;49;69 rue des Dunes;SAINT-MÉDARD-EN-JALLES;AQ;Aquitaine;33160;FR;France;MaxMcKeon@superrito.com;05.13.51.89.19;33;MasterCard;5590639206139020;01/02/2026;1750205023922 89;Industrial truck and tractor operator;Pantry Pride
20;Igbo;Okorie;Ifeoma;female;Mrs.;9/12/1967;57;27 rue Isambard;FORT-DE-FRANCE;MQ;Martinique;97234;FR;France;IfeomaOkorie@einrot.com;05.64.09.50.28;33;MasterCard;5269472101689010;01/02/2028;2670925551877 19;Corporate trainer;Gas Legion
21;American;Marsh;Charles;male;Mr.;4/22/1964;60;61 cours Jean Jaures;BORDEAUX;AQ;Aquitaine;33800;FR;France;CharlesGMarsh@cuvox.de;05.01.92.97.02;33;Visa;4716490287378920;01/08/2029;1640447658583 21;Computer operator;Aaronson Furniture
22;United_Kingdom;Finch;Dylan;male;Mr.;8/18/1986;38;85 boulevard Albin Durand;CHAMBÉRY;RA;Rhône-Alpes;73000;FR;France;DylanFinch@gustr.com;04.35.35.89.92;33;MasterCard;5124063986029470;01/05/2025;1860817297546 14;Petroleum technician;The Flying Bear
23;Australian;Bradley;Timothy;male;Mr.;3/20/1995;29;92 rue des Chaligny;NEVERS;BO;Bourgogne;58000;FR;France;TimothyBradley@armyspy.com;03.77.30.97.90;33;Visa;4916401152442740;01/01/2028;1950372228501 26;Telephone station repairer;Helios Air
24;Australian;Archibald;Taj;male;Mr.;6/16/1994;30;31 rue des Dunes;SAINT-MARTIN-D'HÈRES;RA;Rhône-Alpes;38400;FR;France;TajArchibald@jourrapide.com;04.90.39.61.57;33;MasterCard;5102480086299930;01/02/2026;1940698456237 23;Instrumentation technician;Netcom Business Services
25;Australian;Johns;Maddison;female;Mrs.;7/27/1961;63;5 rue Petite Fusterie;BOURGOIN-JALLIEU;RA;Rhône-Alpes;38300;FR;France;MaddisonJohns@einrot.com;04.82.92.16.31;33;Visa;4716384201459590;01/12/2028;2610717471525 48;Systems programmer;Webcom Business Services
26;German;Fischer;Marie;female;Ms.;3/17/2005;19;58 rue Marguerite;VIRY-CHÂTILLON;IL;Île-de-France;91170;FR;France;MarieFischer@einrot.com;01.91.27.54.39;33;MasterCard;5218834929760720;01/04/2029;2050398312643 52;Meat packer;Hudson's MensWear
27;French;Saucier;Florence;female;Ms.;11/26/1950;73;43 avenue Voltaire;MAGAGNOSC;PA;Provence-Alpes-Côte d'Azur;6520;FR;France;FlorenceSaucier@einrot.com;04.15.22.39.33;33;Visa;4485949484641470;01/06/2028;2501114795275 89;Operating room technician;Enrich Garden Services
28;French;Chevrette;Lucas;male;Mr.;2/24/1945;79;90 avenue Jean Portalis;TOURS;CE;Centre;37200;FR;France;LucasChevrette@cuvox.de;02.38.07.60.54;33;MasterCard;5433780160755370;01/08/2025;1450224219214 45;Automotive painter;Northern Star
29;German;Becker;Janina;female;Ms.;8/2/1990;34;24 Rue Marie De Médicis;CANNES;PA;Provence-Alpes-Côte d'Azur;6400;FR;France;JaninaBecker@rhyta.com;04.02.47.49.26;33;MasterCard;5176701803039030;01/07/2027;2900829339996 62;Sports book writer;Movie Gallery
