CustomerID;Nationalite;Prenoms;Noms;Titre;Genre;Date_de_naissance;Email;Telephone;Addresse;Ville;CodePostal;Departement;CodeDept;CodePays;Pays;IndicatifPays;CarteType;NumeroCarte;ExpirationCarte;Employeur;Poste;NationalID
1;Ninja;Takumotokashite;;Mr.;male;11/03/1946;Takumotokashite@dayrep.com;956 63 485;Ny-Paradis 6;PARADIS;5231;;;NO;Norway;47;MasterCard;5544964261243180;01/12/2026;County Seat;Landlord;
2;French;Landers;Tétrault;Mr.;male;11/08/1995;LandersTetrault@teleworm.us;423 31 879;Jenny Linds vei 118;FYLLINGSDALEN;5146;;;NO;Norway;47;MasterCard;5271070771004470;01/06/2029;Specific Appraisals;Umpire;
3;England/Wales;Freddie;Hart;Mr.;male;12/03/1958;FreddieHart@cuvox.de;7 824 899 702;89 Whitby Road;DIAL POST;RH13 1FQ;;;GB;United Kingdom;44;Visa;4532529573446230;01/07/2025;Specific Appraisals;Public finance economist;OG 33 76 50
4;Danish;Anton;Knudsen;Mr.;male;7/21/1969;AntonAKnudsen@rhyta.com;(02) 6769 2274;89 Oak Street;CORAKI;2471;New South Wales;NSW;AU;Australia;61;MasterCard;5230889498462420;01/12/2029;Bresler's Ice Cream;Personnel director;
5;Vietnamese;L?p;Võ;Mr.;male;10/25/1948;VoDucLap@rhyta.com;608 723 110;Dukelská 1546;Jistebník;742 82;Moravskoslezský kraj;MO;CZ;Czech Republic;420;MasterCard;5156025819304230;01/11/2027;Highland Appliance;Roof bolter;
6;Croatian;Vuk;Pavi?i?;Mr.;male;7/17/1988;VukPavicic@gustr.com;28-87-42-55;Sibiriensvej 69;Rønde;8410;Region Midtjylland;MI;DK;Denmark;45;MasterCard;5252659821922580;01/03/2027;Peter Reeves;LAN manager;170788-4173
7;Chinese;Long;Hsing;Mr.;male;10/15/1963;LongHsing@gustr.com;536 763 334;Köhlerova 185;Lipov;696 72;Jihomoravský kraj;JM;CZ;Czech Republic;420;Visa;4532075757811290;01/05/2025;Delchamps;Business office assistant;
8;Eritrean;Medhane;Abdullah;Mr.;male;1/22/1973;MedhaneAbdullah@rhyta.com;72 605 35 20;ul. ?wierkowa 8;Lublin;20-834;;;PL;Poland;48;MasterCard;5355429734301060;01/02/2025;Littler's;Emergency physician;73012273452
9;Thai;????????;?????;Mrs.;female;09/02/1980;;(02) 6704 6898;92 Oak Street;ILUKA;2466;New South Wales;NSW;AU;Australia;61;Visa;4485520424660230;01/09/2028;Superior Interior Design;Immigration inspector;
10;Persian;??????;?????;Mr.;male;08/02/1950;KeaqebadKhatema@dayrep.com;770 902 716;Köhlerova 787;Sobulky;696 40;Jihomoravský kraj;JM;CZ;Czech Republic;420;Visa;4716572490469930;01/04/2028;Sound Warehouse;Groundskeeping worker;
11;Brazil;Julian;Alves;Mr.;male;07/09/1961;JulianLimaAlves@cuvox.de;(02) 4053 3828;62 Plantation Place;DOG ROCKS;2795;New South Wales;NSW;AU;Australia;61;Visa;4716819388200680;01/02/2026;AdventureSports!;Job training specialist;
12;Norwegian;Ingrid;Andersen;Mrs.;female;07/03/1991;IngridAndersen@gustr.com;432 27 316;Kigeveien 154;MANDAL;4516;;;NO;Norway;47;Visa;4532334196426570;01/08/2029;Foot Quarters;Benefits clerk;
13;Icelandic;Örlygur;Baldvinsson;Mr.;male;4/29/1974;OrlygurBaldvinsson@einrot.com;4 882 936;Lindargata 93;Sandgerði;245;;;IS;Iceland;354;Visa;4556557594643230;01/03/2026;id Boutiques;Show host;
14;Danish;Mie;Larsen;Dr.;female;5/15/1970;MieALarsen@jourrapide.com;26 675 616;?????????? 237;?????;8041;?????;PA;CY;Cyprus (Greek);357;MasterCard;5549109178877300;01/12/2027;Gallenkamp;Pharmacy technician;
